Rank,NAME,Av_ESC+iPS,Av_DIFF,C_p-value Wilcox,ESCvsDIFF,DIFFvsESC,ESC_H1-a,ESC_H1-b,ESC_H9-a,ESC_H9-b,ESC_hES2,iPS-a,iPS-b,CL_Fibroblast,CL_Gm12878,CL_HNEK,CL_HUVEC,CL_MCF7,CL_293T,CL_HeLa,Adipose,Adrenal,Brain-a,Cortex,Cerebellum,Breast,Colon,Heart-a,Heart-b,Muscle,Kidney-a,Kidney-b,Liver-a,Liver-b,Lung,LymphNode,Ovary,Prostate,Testis-a,Testis-b,Thyroid,WBC
16,RBM20,0.34,2.39,0.195,0.14,7.01,0.1,0.07,1.64,0.15,0.16,0.14,0.13,0.07,0.24,0.01,0.01,0.1,5.09,1.32,0.5,0.5,0.39,0.36,0.16,0.64,1.47,28.03,13.17,7.62,0.24,0.74,0.01,0.02,0.6,0.53,0.66,1.38,1.83,0.86,2.88,0.02
17,RBM24,1.11,10.14,1.000,0.11,9.14,0.5,0.67,2.13,0.22,2.46,1.46,0.32,5.96,0,1.11,2.97,2.46,0.19,0.72,1.42,5.48,3.57,2.74,0.26,7.27,5.72,55.14,26.49,107.91,0.81,0.15,0.1,0.08,2.19,3.74,2.15,17.44,10.31,2.33,25.22,0
18,RBM43,1.41,3.54,1.000,0.40,2.50,1.01,2.44,1.25,0.69,1.28,1.67,1.56,8.13,1.27,1.84,2.03,3.36,1.26,1.22,4.76,5.2,2.47,0.97,0.47,5.49,7.19,0.84,0.49,1.51,4.45,1.13,1.3,0.91,4.56,3.45,8.77,9.58,6.21,0.66,7.98,5.11
19,U2AF1L4,6.20,9.74,1.000,0.64,1.57,5.62,4.64,13.19,11.95,3.89,0.43,3.69,5.03,7.12,4.3,7.26,8.88,5.21,4.85,3.07,18.2,9.24,20.78,20.85,5.83,4.48,2.97,14.85,2.24,10.45,18.8,3.41,7.4,6.82,10.54,9.83,9.17,10.86,22.83,19.42,7.63
20,PCBP4,9.34,21.69,1.000,0.43,2.32,9.11,7.64,22.1,15.41,7.08,0.29,3.76,23.34,5.56,22.86,56.47,5.88,5.85,18.67,6.98,10.34,26.3,106.05,113.89,9.06,6.71,11.34,36.55,34.29,6.21,12.91,2.28,5.13,9.81,10.75,17.88,12.26,11.94,27.14,9.45,3.16
21,MBNL3,2.42,4.16,1.000,0.58,1.72,1.23,1.36,10.85,0.71,0.41,1.88,0.5,0.26,8.6,2.56,0.52,9.39,5.75,18.5,2.2,1.59,0.85,0.26,0.04,2.95,0.52,4.62,0.53,0.24,1.85,1.25,9.65,3.33,2.95,1.83,1.55,3.45,14.83,8,1.63,10.84
22,LSM10,23.58,30.32,1.000,0.78,1.29,31.16,27.06,32.06,51.17,10.1,0.94,12.55,24.72,32.92,30.52,59.81,13.51,36.95,31.55,13.33,36.31,15.43,32.12,30.36,23.02,26.3,20.17,42.29,41.89,19.32,37.35,23.27,23.23,21.62,56.99,20.17,36.77,20.56,30.25,26.25,52.19
23,RBM42,24.23,30.34,1.000,0.80,1.25,46.15,13.65,35.74,52.65,8.94,5.05,7.41,35.24,45.39,24.34,58.64,20.97,76.56,51.67,28.03,33.49,13.2,32.24,37.4,22.24,18.84,7.85,32.91,23.55,17.2,48.25,9.76,23.41,22.15,17.8,30.43,22.44,27.96,48.39,29.94,19.57
24,SNRNP35,12.17,13.73,1.000,0.89,1.13,9,6.33,15.45,10.38,17.36,19.31,7.36,16.22,13.31,10.87,10.12,18.98,16.63,10.13,8.24,25.89,10.88,16.31,20.6,14.38,9.38,9.53,21.17,21.35,10.24,15.66,8.32,8.43,6.82,11.73,10.95,10.53,14.31,15.37,21.51,10.43
25,RBM3,60.80,91.62,1.000,0.66,1.51,74.73,72.1,60.16,38.59,69.88,57.83,52.34,95.97,137.43,140.74,111.9,132.96,230.26,190.09,254.75,201.53,87.14,19.66,15.41,171.91,34,43.44,18.26,17.91,82.01,39.28,29.47,12.95,75.26,26.41,83.45,59.42,70.57,28.52,122,124.16
26,CELF2,7.54,11.59,1.000,0.65,1.54,4.15,8.45,4.62,4.63,14.19,11.82,4.9,6.14,18.78,3.68,8.94,0.01,3.8,0.03,15.65,12.85,23.1,21,13.85,25.21,13.12,15.72,6.07,13.44,2.62,0.69,1.21,0.4,16.27,22,12.1,13.73,9.21,3.61,7.39,45.39
27,SLU7,14.92,17.98,1.000,0.83,1.20,26.2,13.86,8.85,4.36,20.46,17.85,12.89,18.67,41.53,9.83,2.92,25.39,23.65,17.38,16.47,20.33,36.07,15.56,10.29,21.79,18.25,13.4,5.67,20.91,12.59,5.44,5.84,4.01,12.59,14.77,14.42,18.09,34.04,19.19,31.59,30.8
29,PRPF18,10.00,12.11,1.000,0.83,1.21,16.3,7.28,8.62,4.04,9.96,15.76,8.02,12.12,22.87,11.22,2.27,25.75,16.16,11.48,11.3,15.16,9.93,4.92,3.79,13.86,14.87,7.03,3.64,7.52,14.98,5.65,7.8,4.09,8.02,10.59,13.81,14.85,24.67,16.11,18.15,18.61
29,SCAF1,18.08,18.77,1.000,0.96,1.04,17.71,8.93,38.84,48.33,8.35,0.18,4.2,16.28,11.57,5.16,5.04,3.18,30.61,18.8,20.19,17.06,17.68,56.5,67.47,13.17,10.2,5.16,27.11,16.83,8.26,26.66,4.27,13.15,8.29,10.51,19.13,12.85,23.14,50.06,16.72,9.18
31,PUF60,41.48,43.24,1.000,0.96,1.04,48.31,33.93,57.29,111.84,13.27,7.03,18.69,32.6,37.58,38.69,72.55,41.93,84.87,95.75,26.12,45.56,30.13,85.97,66.98,22.75,20.69,14.71,43.85,27.48,30,61.7,23.08,40.29,24.57,22.93,35.96,30.29,39.27,88.91,42.94,25.8
31,SYF2,33.57,39.43,1.000,0.85,1.17,46.26,21.63,28.7,10.54,54.48,36.23,37.15,44.24,62.31,15.33,3.73,35.62,30.47,37.6,59.39,57.29,35.05,13.89,15.23,44.38,92.93,21.49,16.74,38.98,42.21,26.5,14.69,12.04,35.24,44.28,57.2,63.21,64.07,23.92,80.88,54.69
32,SNRNP27,14.70,14.91,1.000,0.99,1.01,16.02,14.4,10.61,6.44,30.55,14.02,10.89,22.2,19.62,10.51,3.84,22.39,23.15,12.44,15.25,17.61,23.23,8.79,6.17,17.92,19.23,15.64,5.9,20.78,16.35,4.29,7.7,2.94,22.85,24.7,11.09,20.01,16.46,5.24,17.05,18.98
34,HNRNPUL2,22.57,26.44,1.000,0.85,1.17,10.29,16.14,29.7,17.7,41.59,24.9,17.67,16.07,12.94,12.34,12.11,27.29,16.79,24.79,31.2,44.69,50.97,40.57,53.82,25.63,40.6,15.09,12.99,22.64,26.48,19.21,8.06,8.53,20.66,28.22,39.74,34.15,35.67,13.87,34.8,36.77
34,PCBP1,180.20,195.71,1.000,0.92,1.09,214.14,196.32,231.26,374.61,116.12,37.42,91.51,106.99,258.06,66.42,125.8,90.07,145.6,175.93,304.48,238.44,94.21,128.05,206.43,209.13,238.98,80.73,150.89,445.91,155.67,170.55,125.17,129.61,235.52,338.78,227.62,232.06,178.49,187.02,259.62,369.35
35,SART1,23.36,23.81,1.000,0.98,1.02,58.99,12.82,34.3,41.55,8.09,1.51,6.26,19.56,58.55,6.36,6.16,22.75,42.93,38.75,25.78,30.76,15.27,30.82,46.94,13.74,19.58,5.5,28.35,21.73,10.97,30,5.54,14.82,14.25,19.71,25.49,18.78,24.92,49.31,24.28,18.91
36,PRPF6,38.90,44.31,1.000,0.88,1.14,74.11,33.8,55.61,60.67,20.72,7.35,20.05,28.92,123.42,20.69,22.14,82.41,59.81,58.77,36.98,32.87,28.24,56.16,122.03,31.67,26.15,12.51,39.36,37.46,23.96,49.14,9.75,22.4,17.69,27.72,48.95,36.84,53.91,94.46,45.33,35.27
37,SFRS16,15.51,16.18,1.000,0.96,1.04,34.81,7.62,26.95,25.92,6.53,1.02,5.74,10.13,39.85,5.43,13.94,15.1,34.78,25.52,6.28,22.86,9.19,32.85,40,5.94,6.16,2.95,20.37,6.78,4.91,16.81,3.22,11.06,10.55,27.3,12.05,13.16,8.71,44.21,15.31,3.94
38,RDBP,29.90,33.70,1.000,0.89,1.13,50.51,23.69,45.67,43.09,21.64,7.47,17.26,29.38,42.56,28.12,30.04,21.75,46.58,40.79,27.81,35.6,23.63,33.23,20.04,24.82,20.81,11.28,27.27,20.09,25.17,42.17,6.89,19.81,30.25,21.95,36,29.97,66,163.78,29.77,21.75
39,CWC25,9.43,10.15,1.000,0.93,1.08,13.71,7.27,11.27,6.36,11.63,7.69,8.08,10.33,24.63,9.79,7.67,9.9,15.4,11.08,8.36,16.14,7.13,6.75,7.97,10.73,6.7,3.66,6.04,5.71,10.15,8.16,3.82,5,7.96,12.75,13.09,8.89,12,21.16,12.72,10.54
40,RBM4,52.89,61.43,0.997,0.86,1.16,39.63,43.57,83.51,60.03,42.71,79.55,21.25,52.83,38.95,85.7,236.54,202.69,91.69,70.32,25.31,46.92,16.84,30.25,78.12,27.29,40.67,17.94,32.77,29.75,59.69,46.66,27.74,31.37,57.27,94.41,41.17,48.41,56.7,84.57,41.71,67.1
41,RBM38,22.99,22.17,1.000,1.04,0.96,28.35,20.61,27.72,51.1,19.34,0.98,12.82,4.14,89.35,4.08,28.51,23.64,20.32,10.75,4.76,25.29,3.21,8.95,30.08,8.22,23.8,16.25,41.32,69.71,5.08,22.4,1.9,3.88,14.91,20.03,25.19,22.16,20.63,41.76,17.73,34.85
43,HNRNPH2,63.25,60.88,1.000,1.04,0.96,53.33,58.87,61.48,43.03,81.72,89.13,55.22,42.6,30.49,43.24,15.61,112.99,96.84,104.26,75.03,96.7,112.2,49.94,53.22,55.66,65.98,35.32,28.08,38.83,79.14,40.59,30.65,17.69,70.81,60.11,91.59,62.1,61.88,27.74,87.8,78.39
43,RBMS1,23.91,21.86,1.000,1.09,0.91,22.41,23.36,20.41,16.53,39.21,16.67,28.77,40.4,0.35,31.23,20.23,23.04,13.25,22.65,40.7,43.52,5.6,2.7,1.32,36.17,31.85,21.47,10.7,6.88,26.63,5.97,5,2.9,55.59,33.26,36.38,28.31,21.44,8.35,18.1,40.06
44,RBM5,35.56,34.60,1.000,1.03,0.97,61.26,31.5,41.69,27.32,31.43,31.78,23.97,34.78,70.63,42.29,79.57,88.39,63.16,36.22,13.21,38.47,16.08,48.49,49.75,21.91,13.63,11.48,24.79,8.14,25.65,26.98,8.77,13.57,19.9,42.14,36.28,37.42,26.57,47.6,28.64,28.86
45,BUD31,60.17,43.43,1.000,1.39,0.72,189.58,35.76,30.09,25.77,74.86,24.09,41.07,73.15,238.31,25.61,12.85,64.28,47.8,53.58,31.03,46.55,44.56,21.72,20.9,29.2,40.22,10.98,9.79,6.81,37.02,26.52,18.08,16.42,42.57,34.03,34.44,39.9,76.91,68.17,44.34,43.76
46,LUC7L2,47.99,44.62,0.230,1.08,0.93,87.19,32.8,45.58,29.4,58.24,53.94,28.8,29.06,100.37,27.17,12.6,69.03,150.37,52.13,35.05,64.07,46.06,31.51,31.36,30.88,49.19,21.35,19.69,26.5,36.17,22.21,13.63,15.27,37.43,39.97,56.88,52.32,58.35,41.64,88.03,35.81
48,HNRNPCL1,39.25,18.78,1.000,2.09,0.48,112.05,36.44,73.48,38.46,1.84,12.02,0.43,13.95,74.33,19.33,8.51,43.07,41.64,32.06,6.39,12.81,8.82,11.69,19.09,5.43,17.51,5.92,13.68,6.77,17.24,21.42,6.49,15.27,24.1,32.78,14.11,19.17,14.03,4.82,10.07,24.08
48,RALYL,0.15,2.90,1.000,0.05,18.80,0.15,0.09,0.09,0.08,0.21,0.09,0.37,0,0.02,0,0,0,0,0,0,0.02,33.76,16.54,20.54,0,1.07,0.86,0.42,0.06,5.59,3.2,0.04,0.01,0,0.1,0.13,0.83,0.66,0.28,0,0
49,RALY,70.84,58.75,1.000,1.21,0.83,71.8,42.51,113.72,143.85,77.53,1.81,44.64,48.9,75.24,73.37,117.73,28.03,62.34,77.55,45.61,61.64,20.96,75.75,66.65,33.24,39.06,20.72,92.61,35.76,36.43,100.85,14.31,29.59,60.44,54.6,39.9,47.81,63.19,162.86,55.27,63.21
50,SNRNP25,30.87,27.21,1.000,1.13,0.88,47.24,21.63,38.6,49.09,31.85,11.76,15.91,16.23,56.27,24.3,24.59,45.57,77.86,70.63,5.36,13.66,30.22,60.08,54.51,13.29,13.81,25.23,51.04,21.04,14.73,26.87,11.71,26.14,7.24,14.58,17.02,20.15,11.09,12.14,16.35,7.46
52,ELAVL4,0.24,2.58,1.000,0.09,10.77,0.03,0.12,0.07,0,0.21,0.66,0.59,0.06,0,0,0,0,0,0,0.03,0.08,18.53,28.91,13.18,0,2.19,0,0.02,0,0.05,0,0,0.02,0,0.33,0.03,0.64,3.53,7.32,0.02,0
52,RNPC3,7.27,5.34,1.000,1.36,0.74,4.05,6.21,4.9,2,7.3,19.47,6.93,4.92,9.35,5.71,2.46,4.85,14.16,8.7,2.23,6.25,3.59,6.98,4.83,6.71,3.92,3.44,4.05,1.69,9.44,5.3,1.03,2.03,2.38,9.19,6.13,3.71,5.07,3.73,9.9,3.2
54,LSM7,106.41,58.00,1.000,1.83,0.55,111.32,138.58,170.36,269.63,24.42,3.33,27.26,54.26,84.85,110.83,301.46,70.69,144.47,56.4,28.52,72.51,16.5,58.23,70.14,26.05,29.03,9.16,63.52,14.88,21.72,60.6,12.01,45.14,21.86,40.19,46.78,27.08,52.27,77.56,31.87,33.33
54,SNRNP70,109.44,82.86,1.000,1.32,0.76,151.25,61.9,226,202.61,59.96,27.96,36.42,85.09,77.75,61.77,90.71,53.25,300.87,142.67,39.18,72.19,35.77,164.43,342.98,33.36,32.43,15.83,124.92,18.53,37.56,126.96,16.83,55.09,57.31,76.46,54.73,41.63,46.79,121.69,58.05,18.09
55,RBM45,5.07,4.38,1.000,1.16,0.87,6.44,6.01,4.18,3.42,4.59,6.07,4.75,6.45,6.31,7.53,4.74,10.42,7.96,5.52,2.34,10.1,3.65,2.6,1.41,4.24,2.06,2.57,1.62,0.34,4.82,1.87,3.29,1.49,1.09,3.6,6.38,4.52,6.27,2.45,7.41,4.03
58,PRPF19,56.94,52.10,1.000,1.09,0.92,85.85,48.18,71.44,88.45,48,3.94,52.69,27.19,91.56,25.11,61.89,42.78,167.61,161.7,27.07,78.42,65.73,93.22,87.31,32.92,28.16,10.75,21.2,28.74,29.58,30.11,25.55,29.87,18.59,31.84,67.83,37.45,50.24,36.65,57.38,44.52
58,SF3A2,49.10,30.48,1.000,1.61,0.62,74.55,36.02,83.99,103.66,25.15,0.94,19.37,21.06,77.42,6.57,12.9,10.15,74.06,40.65,27.17,38.19,9.42,25.44,56.23,20.28,21.53,4.89,22.15,20.46,8.08,30.97,4.5,13.42,22.54,22.74,38.82,25.95,55.18,121.1,26.15,26
58,SFRS12,16.42,10.60,1.000,1.55,0.65,11.97,11.33,13.68,4.82,16.93,45.66,10.58,10.67,13.28,7.21,4.4,21.86,25.44,16.2,8.92,17.14,9.14,4.36,4.53,13.14,12.71,5.33,3.67,5,14.23,3.89,4.21,3.18,8.5,13.04,17.84,13.72,14.43,6.98,17.15,7.2
60,RBM4B,8.37,6.92,1.000,1.21,0.83,5.93,6.45,8.34,5.78,8.02,18.05,5.99,6.96,6.48,6.42,14.47,23.2,9.67,7.77,1.29,5.68,2.75,8.2,19.66,3.68,3.68,1.95,3.1,1.3,5.01,4.11,1.38,3.24,1.9,7.2,11.51,6.29,10.03,12.3,4.88,6.6
60,SNRPD2,192.61,146.39,1.000,1.32,0.76,217.33,146.25,355.49,328.89,124.94,111.21,64.19,153.33,360.47,391.58,197.43,277.04,357.66,214.18,85.11,141.11,76.88,100.96,93.13,77.84,111.6,49.2,108.62,68.74,78.79,135.08,44.03,77.3,121.02,143.75,120.24,128.31,140,186.64,86.62,118.7
61,CWC15,36.31,26.88,1.000,1.35,0.74,36.86,21.79,26.88,13.15,74.15,55.58,25.74,37.49,50.55,21.24,4.76,20.12,46.43,31.55,20.12,36.3,34.55,15.94,15.2,22.92,22.51,17.08,13.8,23.43,25.07,13.04,16.07,15.39,19.82,31.69,30.94,28.24,62.53,43.43,34.92,24.25
63,NOVA1,3.90,5.53,1.000,0.71,1.42,3.26,3.8,4.68,2.41,5.26,4.24,3.65,0.97,0.01,0,1.65,2.26,3.16,0,14.35,4.13,21.77,18.2,36.9,12.32,7.98,0.93,1.23,2.09,3.76,1.87,0.13,0.14,0.81,3.36,3.11,6.33,5.6,4.9,2.32,0.02
63,SFRS4,62.49,52.21,1.000,1.20,0.84,86.14,39.38,90.87,52.14,82.38,60.38,26.17,33.38,90.16,27.94,21.6,41.89,162.59,65.7,62.06,71.67,31.09,32.08,70.18,39.96,79.98,21.58,42.25,56.13,32.43,37.33,18.11,19.05,83.38,73.53,56.92,63.35,42.59,52.65,42.79,41.73
65,SF1,87.07,70.13,0.824,1.24,0.81,112.48,77.72,122.15,120.33,84.45,36.64,55.72,38.25,115.36,31.63,45.07,74.87,140.43,120.22,50.95,92.38,46.06,65.12,131.69,55.11,49.95,20.75,50.73,58.38,46.99,50.96,23.21,31.53,52.24,81.58,98.45,87,88.5,142.19,59.2,84.92
65,RBFOX1,0.40,8.01,1.000,0.05,20.25,0.44,0.64,0.5,0.17,0.68,0.02,0.32,0,0,0,0,0,0,0.01,0.01,0,57.97,40.76,27.47,1.07,0.08,18.02,14.08,65.58,0.15,0.1,0,0,0,0.07,0.07,0.18,0.9,0.27,5.59,0
67,NOVA2,4.70,3.50,1.000,1.34,0.75,3.29,3.14,4.82,16.92,3.21,0.25,1.24,0.1,0.02,0.01,3.03,0.15,0.68,0.05,3.98,2.47,5.81,32.26,20.41,1.94,1.25,1.24,5.25,0.28,1.21,2.35,0.27,0.5,5.65,3.25,0.98,1.08,1.54,4.82,0.9,0
67,RBM10,25.49,16.59,1.000,1.54,0.65,48.23,17,34.26,51.75,14.22,1.63,11.36,11.77,39.69,9.18,25.41,13.89,45.57,40.05,10.11,13.19,6.25,24.79,47.17,8.39,9.35,4.41,19.02,7.51,10.95,18.92,3.93,10.89,6.81,12.67,19.92,14.78,9.2,10.32,14.95,11.9
68,U2AF2,63.57,43.99,1.000,1.45,0.69,111.8,34.97,101.14,96.27,54.84,1.74,44.22,36.21,100.1,44.05,67.12,48.96,155.04,106.26,14.32,37.28,15.3,46.09,102.07,14.58,21.34,10.8,35.47,13.12,21.63,42.1,11.56,21.21,30.55,57.86,38.91,26.09,34.18,61.84,30.61,31.07
69,SF3A1,55.63,44.62,1.000,1.25,0.80,63.49,54.86,85.89,85.19,47.09,16.43,36.48,18.65,47.54,13.98,10,24.54,114.69,71.03,41.05,38.93,27.98,33.8,78.53,29.94,34.34,19.21,29.34,68.68,25.68,34.91,11.72,14.02,29.82,40.86,48.73,46.6,75.57,150.14,41.87,71.92
72,PCBP2,351.14,289.41,1.000,1.21,0.82,446.64,384.96,478.65,447.22,370.49,102.4,227.61,216.39,472.45,107.87,189.54,345.82,323.08,378.67,403.2,290.19,172.06,167.12,331.25,272.74,295.1,152.73,166.44,202.94,265.82,374.19,117.04,160.06,347.31,421.88,401.81,320.01,376.28,397.67,302.78,420.44
72,PCBP3,3.41,3.80,1.000,0.90,1.11,3.03,4.07,2.96,7.74,3.96,0.23,1.88,2.42,0.79,0.12,0.02,1.47,1.45,0.02,1.92,3.28,3.58,7.57,37.36,4.56,2.34,0.2,0.75,0,1.98,0.93,0.25,0.08,0.77,4.91,1.65,1.49,8.64,21.36,0.27,0.03
72,RBMX2,18.92,13.72,1.000,1.38,0.73,29.91,10.63,19.23,8.7,31.42,18.28,14.24,21.95,31.31,11.02,3.94,24.79,33.48,20.41,13.35,18.93,11.41,7.56,8.57,11.02,19.64,5.18,5.33,4.72,10.01,7.13,4.99,4.52,10.36,17.6,13.6,21.08,17.86,8.43,13.99,15.62
73,PRPF40B,7.98,6.20,1.000,1.29,0.78,12.34,6.27,9.27,12.69,9.05,0.59,5.67,3.11,3.92,6.95,2.6,4.24,2.32,1.34,2.92,3.9,3.86,12.99,9.45,2.01,1.95,3.49,8.47,8.69,5.02,10.53,1.11,1.84,3.1,2.35,7.47,8.37,10.79,37.56,8.98,0.36
